ID_Tagesgangsatz;Tagtyp;Anteil_01;Anteil_02;Anteil_03;Anteil_04;Anteil_05;Anteil_06;Anteil_07;Anteil_08;Anteil_09;Anteil_10;Anteil_11;Anteil_12;Anteil_13;Anteil_14;Anteil_15;Anteil_16;Anteil_17;Anteil_18;Anteil_19;Anteil_20;Anteil_21;Anteil_22;Anteil_23;Anteil_24;Quelle;Ausgabe;Version;Herkunftsart
1;1;0.01656025538707103;0.007781324820430965;0.002893056664006385;0.002893056664006385;0.008180367118914606;0.023942537909018357;0.07581803671189147;0.07482043096568236;0.06783719074221868;0.05087789305666401;0.047885075818036714;0.04090183559457303;0.04389465283320032;0.03890662410215483;0.037909018355945734;0.030925778132482044;0.037909018355945734;0.046887470071827614;0.0578611332801277;0.07083000798084596;0.08080606544293696;0.06983240223463688;0.04090183559457303;0.022944932162809257;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN
1;2;0.01798740881383032;0.010692515239332467;0.0047966423503547516;0.0028979714200059957;0.006195663035874888;0.006695313280703509;0.010392725092435296;0.02298391126211652;0.048965723993204764;0.08793844308983711;0.09093634455880883;0.08094333966223645;0.07394823623463576;0.05296292595183372;0.054961526931148204;0.04596782252423304;0.049965024482862004;0.05196362546217648;0.05895872888977716;0.056960127910462684;0.055960827420805444;0.04396922154491856;0.03697411811731788;0.02598181273108824;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN
1;3;0.0200184169435881;0.01191095808143492;0.007026464347199424;0.004013692597189414;0.003973655763302238;0.003973655763302238;0.005014613444368819;0.009909116387076112;0.03513232173599712;0.07026464347199424;0.08247587780758298;0.0913840733474797;0.08407735116307004;0.07196620891219924;0.05825359330584138;0.04914521359650879;0.0427393201745606;0.04664291147856028;0.05825359330584138;0.06385875005004604;0.0652600392360972;0.052147976138047;0.03973655763302238;0.022820995315690436;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN
1;4;0.0200184169435881;0.01191095808143492;0.007026464347199424;0.004013692597189414;0.003973655763302238;0.003973655763302238;0.005014613444368819;0.009909116387076112;0.03513232173599712;0.07026464347199424;0.08247587780758298;0.0913840733474797;0.08407735116307004;0.07196620891219924;0.05825359330584138;0.04914521359650879;0.0427393201745606;0.04664291147856028;0.05825359330584138;0.06385875005004604;0.0652600392360972;0.052147976138047;0.03973655763302238;0.022820995315690436;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN
2;1;0.01249250449730162;0.008694783130121926;0.004197481511093344;0.005796522086747951;0.014391365180891466;0.03997601439136519;0.07595442734359385;0.0639616230261843;0.06596042374575256;0.04797121726963822;0.044973016190285826;0.035978412952228665;0.03298021187287628;0.03897661403158106;0.04297421547071757;0.04097541475114932;0.056965820507695386;0.05796522086747952;0.06695982410553669;0.05996402158704777;0.06196282230661603;0.054967019788127125;0.03897661403158106;0.025984409354387367;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
2;2;0.0209832134292566;0.006794564348521184;0.002897681854516387;0.006694644284572343;0.013389288569144685;0.023980815347721826;0.039968025579536375;0.04496402877697842;0.08193445243804957;0.06594724220623502;0.056954436450839335;0.05995203836930456;0.0639488409272582;0.05795363709032775;0.0419664268585132;0.03896882494004796;0.053956834532374105;0.050959232613908875;0.06894484412470026;0.04996003197442047;0.04396482813749001;0.03796962430055956;0.04096722621902479;0.025979216626698644;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
2;3;0.013623159370930582;0.011719923870579987;0.006811579685465291;0.004808173895622558;0.006210557948512471;0.006711409395973155;0.01252128618651708;0.037063007112090554;0.048081738956225584;0.056095362115596514;0.0831413402784734;0.07112090553941701;0.07412601422418111;0.04908344185114695;0.04207152158669739;0.04207152158669739;0.048081738956225584;0.05910047080036061;0.07913452869878794;0.05910047080036061;0.06310728238004608;0.058098767905439254;0.04106981869177602;0.02704597816287689;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
2;4;0.013623159370930582;0.011719923870579987;0.006811579685465291;0.004808173895622558;0.006210557948512471;0.006711409395973155;0.01252128618651708;0.037063007112090554;0.048081738956225584;0.056095362115596514;0.0831413402784734;0.07112090553941701;0.07412601422418111;0.04908344185114695;0.04207152158669739;0.04207152158669739;0.048081738956225584;0.05910047080036061;0.07913452869878794;0.05910047080036061;0.06310728238004608;0.058098767905439254;0.04106981869177602;0.02704597816287689;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
3;1;0.00309535696455317;0.002895656515227159;0.0040938592111832255;0.005691462805791313;0.0090863704443335;0.017973040439340986;0.1018472291562656;0.1617573639540689;0.08287568647029456;0.07089365951073388;0.07089365951073388;0.06689965052421368;0.07189216175736395;0.04792810783824263;0.03794308537194208;0.032950574138791815;0.04093859211183225;0.02895656515227159;0.06090863704443335;0.03794308537194208;0.01238142785821268;0.017973040439340986;0.008087868197703444;0.0040938592111832255;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
3;2;0.0040975414751149315;0.003897661403158105;0.005196881870877474;0.007595442734359385;0.012292624425344794;0.020987407555466724;0.07795322806316211;0.12092744353387967;0.08694783130121927;0.07195682590445733;0.07195682590445733;0.06596042374575256;0.07795322806316211;0.052968219068558864;0.0439736158305017;0.03298021187287628;0.044973016190285826;0.030981411153308016;0.06695982410553669;0.04297421547071757;0.020987407555466724;0.018988606835898463;0.011293224065560664;0.005196881870877474;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
