Bezeichner;Bezugsart;Bedarf_Niedrig;Bedarf_Mittel;Bedarf_Hoch;Bedarf_Quelle;Bedarf_Ausgabe;Bedarf_Version;Bedarf_Herkunftsart;Bezug_Zapftemperatur;Bezug_Kaltwasser;Bilanzgrenze;Kalenderart;Ferienfaktor;Monat_1;Monat_2;Monat_3;Monat_4;Monat_5;Monat_6;Monat_7;Monat_8;Monat_9;Monat_10;Monat_11;Monat_12;Jahresgang_Quelle;Jahresgang_Ausgabe;Jahresgang_Version;Jahresgang_Herkunftsart;Woche_1;Woche_2;Woche_3;Woche_4;Woche_5;Woche_6;Woche_7;Wochengang_Quelle;Wochengang_Ausgabe;Wochengang_Version;Wochengang_Herkunftsart;ID_Tagesgangsatz;Status;ReadOnly
Wohnen groß (abgeleitet);1;1.2281279999999999;1.618896;1.842192;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN;60.0;12.0;1;1;;1.1619031747354387;1.0999083409715857;1.1779018415132072;0.9789184234647113;1.066911090742438;0.8969252562286476;0.7769352553953838;0.8699275060411632;0.996916923589701;0.8669277560203317;1.0789100908257645;1.0279143404716273;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN;0.143;0.133;0.144;0.132;0.141;0.142;0.165;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN;1;AUSLIEFERUNG;1
Ein- und Zweifamilienhaus (abgeleitet);1;1.618896;1.898016;2.177136;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN;60.0;12.0;1;1;;1.1619031747354387;1.0999083409715857;1.1779018415132072;0.9789184234647113;1.066911090742438;0.8969252562286476;0.7769352553953838;0.8699275060411632;0.996916923589701;0.8669277560203317;1.0789100908257645;1.0279143404716273;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN;0.143;0.133;0.144;0.132;0.141;0.142;0.165;abgeleitet aus VDI 6002 Blatt 1;2014-03;FREI-1;VERFAHREN;1;AUSLIEFERUNG;1
Studentenwohnheim (abgeleitet);1;2.009664;2.177136;2.623728;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;60.0;12.0;1;1;;1.352112676056338;1.212101008417368;0.9450787565630469;1.0560880073339445;1.1740978414867904;1.0540878406533878;1.1020918409867488;0.5530460871739312;0.5980498374864572;0.9980831735977997;1.195099591632636;0.7600633386115511;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;0.13586413586413587;0.1738261738261738;0.1638361638361638;0.17082917082917082;0.13386613386613386;0.10989010989010987;0.11188811188811187;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;2;AUSLIEFERUNG;1
Seniorenheim (abgeleitet);3;1.842192;1.95384;2.679552;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;60.0;12.0;1;4;;1.122;1.056;1.133;0.988;1.08;0.968;0.956;0.9209999999999999;1.017;0.959;1.06;0.7399999999999999;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;0.15815815815815815;0.14514514514514515;0.15515515515515516;0.15715715715715717;0.15715715715715717;0.1091091091091091;0.1181181181181181;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;3;AUSLIEFERUNG;1
Krankenhaus (abgeleitet);3;2.009664;2.177136;3.181968;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;60.0;12.0;1;4;;1.122;1.056;1.133;0.988;1.08;0.968;0.956;0.9209999999999999;1.017;0.959;1.06;0.7399999999999999;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;0.148;0.159;0.147;0.162;0.162;0.111;0.111;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN;4;AUSLIEFERUNG;1
Hotel (aus Messung);3;3.2;3.9;4.9;Mittel aus drei Hotels, Sørensen et al. 2021, doi:10.1016/j.dib.2021.107228;Data in Brief 37 (2021) 107228, Messdaten Mendeley Data V2 (CC BY 4.0);FREI-1;EIGENKONSTRUKTION;60.0;12.0;1;4;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;Mittel aus drei Hotels, Sørensen et al. 2021, doi:10.1016/j.dib.2021.107228;Data in Brief 37 (2021) 107228, Messdaten Mendeley Data V2 (CC BY 4.0);FREI-1;EIGENKONSTRUKTION;0.11211211211211211;0.14914914914914915;0.15815815815815815;0.15615615615615616;0.14814814814814814;0.15515515515515516;0.12112112112112111;Mittel aus drei Hotels, Sørensen et al. 2021, doi:10.1016/j.dib.2021.107228;Data in Brief 37 (2021) 107228, Messdaten Mendeley Data V2 (CC BY 4.0);FREI-1;EIGENKONSTRUKTION;5;AUSLIEFERUNG;1
