Groesse;Wert
Pufferspeicher[2].Bezeichner;Puffer 3000Ltr (2)
Pufferspeicher[2].Verwendung;Heizung
Pufferspeicher[2].Q_max;34.8
Pufferspeicher[2].Ladung_gesamt;0
Pufferspeicher[2].Entladung_gesamt;0
Pufferspeicher[2].Verluste_gesamt;0
Pufferspeicher[2].SOC_Ende;0
Pufferspeicher[2].SOC_Mittel;0
Pufferspeicher[2].SOC_Max;0
Pufferspeicher[2].Vollzyklen;0
Pufferspeicher[2].Entladung_Heizung;0
Pufferspeicher[2].Entladung_Brauchwasser;0
Pufferspeicher[2].Entladung_Prozess;0
Pufferspeicher[2].Durchsatz_Geladen;0
Pufferspeicher[2].Durchsatz_Entladen;0
Pufferspeicher[2].ID_Anlage;
Pufferspeicher[2].T_oben_Mittel;0
Pufferspeicher[2].T_oben_Min;0
Vektor.waermebedarf.Summe;64314.8197
Vektor.waermebedarf_gebaeude.Summe;59314814.5
Vektor.waermebedarf_brauchwasser.Summe;5000.00529
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;166615.072
Vektor.stundentemperatur.Summe;86502.49
Vektor.restwaerme.Summe;0
Vektor.strombedarf_viertelstunde.Summe;32000.014
Vektor.reststrom_viertelstunde.Summe;114780.02
Vektor.wp_waermebedarf.Summe;64314.8197
Vektor.wp_produktion.Summe;55757.7324
Vektor.wp_strom.Summe;20695.0015
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;0
Vektor.wp_quellentemperatur.Summe;86502.49
Vektor.wp_warmwasserbedarf.Summe;5000.00529
Vektor.puffer_soc.Summe;284265.485
Vektor.puffer_ladung.Summe;8424.08372
Vektor.puffer_entladung.Summe;7250.27283
Vektor.kessel_waermebedarf.Summe;64314.8197
Vektor.kessel_leistung.Summe;15098.3064
Vektor.kessel_restwaerme.Summe;13471.0913
Vektor.kessel_strom.Summe;0
Vektor.solar_waermebedarf.Summe;0
Vektor.solar_produktion.Summe;0
Vektor.solar_restwaerme.Summe;0
Vektor.solar_ueberschuss.Summe;0
Vektor.pv_produktion.Summe;0
Vektor.pv_produktion_theoretisch.Summe;0
Vektor.pv_ueberschuss.Summe;0
Vektor.pv_reststrom.Summe;28695.005
Vektor.pv_strombedarf.Summe;28695.005
