Groesse;Wert
Pufferspeicher[2].Bezeichner;allSTOR exclusiv VPS 1000/3-7
Pufferspeicher[2].Verwendung;Brauchwasser
Pufferspeicher[2].Q_max;11.16
Pufferspeicher[2].Ladung_gesamt;26516.76
Pufferspeicher[2].Entladung_gesamt;25751.69
Pufferspeicher[2].Verluste_gesamt;758.68
Pufferspeicher[2].SOC_Ende;6.39
Pufferspeicher[2].SOC_Mittel;9.19
Pufferspeicher[2].SOC_Max;10.5
Pufferspeicher[2].Vollzyklen;2376.22
Pufferspeicher[2].Entladung_Heizung;0
Pufferspeicher[2].Entladung_Brauchwasser;25751.69
Pufferspeicher[2].Entladung_Prozess;0
Pufferspeicher[2].Durchsatz_Geladen;22.5
Pufferspeicher[2].Durchsatz_Entladen;22.5
Pufferspeicher[2].ID_Anlage;
Pufferspeicher[2].T_oben_Mittel;63.89
Pufferspeicher[2].T_oben_Min;55
Vektor.waermebedarf.Summe;89314.8457
Vektor.waermebedarf_gebaeude.Summe;59314814.5
Vektor.waermebedarf_brauchwasser.Summe;30000.0312
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;196872.131
Vektor.stundentemperatur.Summe;86493.64
Vektor.restwaerme.Summe;4225.83754
Vektor.strombedarf_viertelstunde.Summe;32000.014
Vektor.reststrom_viertelstunde.Summe;162598.725
Vektor.wp_waermebedarf.Summe;89314.8457
Vektor.wp_produktion.Summe;90590.7038
Vektor.wp_strom.Summe;32649.6778
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;4225.83754
Vektor.wp_quellentemperatur.Summe;86493.64
Vektor.wp_warmwasserbedarf.Summe;30000.0312
Vektor.puffer_soc.Summe;193596.472
Vektor.puffer_ladung.Summe;18250.8091
Vektor.puffer_entladung.Summe;17473.5002
Vektor.kessel_waermebedarf.Summe;89314.8457
Vektor.kessel_leistung.Summe;13514.1838
Vektor.kessel_restwaerme.Summe;4728.87964
Vektor.kessel_strom.Summe;0
Vektor.solar_waermebedarf.Summe;4225.83754
Vektor.solar_produktion.Summe;0
Vektor.solar_restwaerme.Summe;4225.83754
Vektor.solar_ueberschuss.Summe;0
Vektor.pv_produktion.Summe;0
Vektor.pv_produktion_theoretisch.Summe;0
Vektor.pv_ueberschuss.Summe;0
Vektor.pv_reststrom.Summe;40649.6813
Vektor.pv_strombedarf.Summe;40649.6813
