Groesse;Wert
Vektor.strombedarf_viertelstunde.Summe;41240688
Vektor.reststrom_viertelstunde.Summe;41319776.2
Vektor.wp_waermebedarf.Summe;104141.51
Vektor.wp_produktion.Summe;82412.6362
Vektor.wp_strom.Summe;19772.0431
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;22236.6459
Vektor.wp_quellentemperatur.Summe;86493.64
Vektor.wp_warmwasserbedarf.Summe;0
Vektor.puffer_soc.Summe;39369.0929
Vektor.puffer_ladung.Summe;30542.1546
Vektor.puffer_entladung.Summe;30034.3822
Vektor.kessel_waermebedarf.Summe;22236.6459
Vektor.kessel_leistung.Summe;20614.4148
Vektor.kessel_restwaerme.Summe;1622.23112
Vektor.kessel_strom.Summe;0
