Groesse;Wert
Pufferspeicher[2].SOC_Ende;32.93
Pufferspeicher[2].SOC_Mittel;32.92
Pufferspeicher[2].SOC_Max;32.93
Pufferspeicher[2].Vollzyklen;34.22
Pufferspeicher[2].Entladung_Heizung;0
Pufferspeicher[2].Entladung_Brauchwasser;0
Pufferspeicher[2].Entladung_Prozess;0
Pufferspeicher[2].Durchsatz_Geladen;0
Pufferspeicher[2].Durchsatz_Entladen;0
Pufferspeicher[2].ID_Anlage;
Pufferspeicher[2].T_oben_Mittel;9.46
Pufferspeicher[2].T_oben_Min;0
Vektor.waermebedarf.Summe;64314.8197
Vektor.waermebedarf_gebaeude.Summe;59314814.5
Vektor.waermebedarf_brauchwasser.Summe;5000.00529
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;166615.072
Vektor.stundentemperatur.Summe;86502.49
Vektor.restwaerme.Summe;0
Vektor.strombedarf_viertelstunde.Summe;32000.014
Vektor.reststrom_viertelstunde.Summe;109926.768
Vektor.wp_waermebedarf.Summe;64314.8197
Vektor.wp_produktion.Summe;52235.0494
Vektor.wp_strom.Summe;19481.6885
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;0
Vektor.wp_quellentemperatur.Summe;86502.49
Vektor.wp_warmwasserbedarf.Summe;5000.00529
Vektor.kessel_waermebedarf.Summe;64314.8197
Vektor.kessel_leistung.Summe;15630.1014
Vektor.kessel_restwaerme.Summe;0
Vektor.kessel_strom.Summe;0
Vektor.solar_waermebedarf.Summe;0
Vektor.solar_produktion.Summe;0
Vektor.solar_restwaerme.Summe;0
Vektor.solar_ueberschuss.Summe;0
Vektor.pv_produktion.Summe;0
Vektor.pv_produktion_theoretisch.Summe;0
Vektor.pv_ueberschuss.Summe;0
Vektor.pv_reststrom.Summe;27481.692
Vektor.pv_strombedarf.Summe;27481.692
