Index;Wert
0;44.9865379
1;44.0612297
2;45.0255775
3;49.8101654
4;73.1053925
5;88.6862106
6;84.5760422
7;83.0394135
8;85.4228134
9;84.8514938
10;86.3657227
11;87.072464
12;84.4346237
13;78.7904205
14;81.1981277
15;87.6653595
16;97.8559341
17;105.531067
18;104.03257
19;94.3091278
20;85.7742386
21;69.10746
22;37.7087059
23;42.3593636
24;41.8724365
25;40.9749413
26;41.8584709
27;46.4051132
28;68.7008057
29;83.5826263
30;79.3182831
31;78.1142807
32;75.8937759
33;71.0268097
34;70.069931
35;69.9501114
36;71.7253952
37;68.2325897
38;69.565979
39;74.6185913
40;84.7432098
41;97.3596497
42;103.848869
43;102.829933
44;97.5923309
45;75.1074219
46;39.1328888
47;39.0997238
48;15.334465
49;14.1697006
50;15.2995796
51;21.1296253
52;49.7098503
53;68.7296371
54;62.8796387
55;60.5461426
56;57.7151947
57;51.2356491
58;49.6766624
59;49.5837669
60;51.7553062
61;47.5493431
62;49.2995872
63;55.6659164
64;68.1023026
65;83.1346283
66;90.2980804
67;88.2597656
68;82.0388412
69;55.5681534
70;11.3977356
71;12.6203499
72;20.6496429
73;19.3812523
74;20.6321526
75;27.0731468
76;58.7467575
77;79.8819885
78;73.1448822
79;70.132988
80;66.930069
81;59.5870285
82;57.8475723
83;57.7501221
84;60.1215057
85;55.5682144
86;57.5203323
87;64.5256119
88;78.0945663
89;94.2563553
90;101.713493
91;98.9863586
92;92.1815491
93;63.6625366
94;15.3169155
95;17.2229233
96;39.4395027
97;38.6650429
98;39.5872993
99;43.9836922
100;65.4083557
101;79.6030426
102;75.4203568
103;74.2674179
104;72.139061
105;67.3969421
106;66.2995453
107;66.164856
108;68.0315475
109;64.7035522
110;66.0085526
111;70.9499054
112;80.9650955
113;93.4642792
114;99.9304123
115;98.9795151
116;93.9173431
117;71.9983215
118;37.1619072
119;36.9545708
120;39.7355309
121;38.889492
122;39.7890358
123;44.2250252
124;65.8173523
125;80.1966705
126;76.0688477
127;75.0874252
128;72.9135056
129;68.0603409
130;66.8968201
131;66.7591248
132;68.6877518
133;65.3953857
134;66.8387299
135;71.8913956
136;81.8315811
137;94.2383347
138;100.748749
139;99.9253159
140;94.9943008
141;72.9955139
142;37.9750633
143;37.6608276
144;36.1552773
145;35.2764435
146;36.1193619
147;40.2841187
148;60.5110931
149;75.1442871
150;72.1270523
151;71.6399384
152;73.9995193
153;74.0639877
154;75.5167847
155;75.3092957
156;71.9154282
157;68.3803177
158;70.9398193
159;77.3187332
160;86.7316742
161;95.0438766
162;94.3926849
163;85.2087097
164;74.1384811
165;56.8071136
166;29.1307831
167;33.262188
168;18.5355225
169;17.8986092
170;18.4428482
171;21.4901791
172;36.4208946
173;46.3603096
174;44.431572
175;44.4605141
176;47.6621323
177;49.3822136
178;51.642395
179;52.4375839
180;49.3720512
181;44.7587051
182;46.6092606
183;51.5047684
184;58.7329254
185;63.3300934
186;61.0196381
187;52.7386856
188;45.6758041
189;34.3959389
190;14.033844
191;17.1354942
192;39.2246895
193;38.3202896
194;39.1324844
195;43.5125732
196;64.968689
197;79.3163528
198;75.2930603
199;74.2344131
200;72.1152115
201;67.3484879
202;66.1711884
203;66.0695038
204;67.7131119
205;64.3793106
206;65.6962051
207;70.5992584
208;80.5999069
209;93.0115356
210;99.5385208
211;98.8639069
212;93.8879852
213;72.0099564
214;37.205574
215;37.0169258
216;20.5682011
217;19.2659626
218;20.4518223
219;26.7791977
220;58.2685699
221;79.2799225
222;72.5363388
223;69.6912689
224;66.4325638
225;59.1836243
226;57.4920578
227;57.3666153
228;59.715332
