timestamp,load_kw,pv_kw,buy_eur_kwh,sell_eur_kwh,grid_kw,import_kw,export_kw,loss_kwh,aux_kw,curtailed_kw,import_violation_kw,peak_violation_kw,command_deviation_kw,A_power_kw,A_energy_kwh,B_power_kw,B_energy_kwh
2025-06-01T00:00:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T00:15:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T00:30:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T00:45:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T01:00:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T01:15:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T01:30:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T01:45:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T02:00:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T02:15:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T02:30:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T02:45:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T03:00:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T03:15:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T03:30:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T03:45:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T04:00:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T04:15:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T04:30:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T04:45:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T05:00:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T05:15:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T05:30:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T05:45:00+00:00,40.0,0.0,0.12,0.08,40.07,40.07,0,0.0,0.07,0.0,0,0,0.0,0.0,50.0,0.0,25.0
2025-06-01T06:00:00+00:00,40.0,0.0,0.25,0.08,0.0,0,0,0.5972256438969762,0.07,0.0,0,0,0.0,15.07,46.03421052631579,25,18.351063829787233
2025-06-01T06:15:00+00:00,40.0,7.848376,0.25,0.08,0.0,0,0,0.4239687368421048,0.07,0.0,0,0,0.0,32.221624,37.554835789473685,0.0,18.351063829787233
2025-06-01T06:30:00+00:00,40.0,15.663143,0.25,0.08,3.552713678800501e-15,3.552713678800501e-15,0,0.3894711223404254,0.07,0.0,0,0,0.0,0.0,37.554835789473685,24.406857,11.859878457446808
2025-06-01T06:45:00+00:00,40.0,23.410839,0.25,0.08,0.0,0,0,0.21919948684210502,0.07,0.0,0,0,0.0,16.659161,33.17084605263158,0.0,11.859878457446808
2025-06-01T07:00:00+00:00,65.0,31.058285,0.25,0.08,0.0,0,0,0.4475225657894732,0.07,0.0,0,0,0.0,34.011715,24.22039473684211,0.0,11.859878457446808
2025-06-01T07:15:00+00:00,65.0,38.572736,0.25,0.08,0.0,0,0,0.3729290307950725,0.07,0.0,0,0,0.0,17.824155,19.52982763157895,8.673109,9.553200531914893
2025-06-01T07:30:00+00:00,65.0,45.922012,0.25,0.08,0.0,0,0,0.25194721052631547,0.07,0.0,0,0,3.552713678800501e-15,19.147987999999998,14.490883421052635,0.0,9.553200531914893
2025-06-01T07:45:00+00:00,65.0,53.074643,0.25,0.08,0.0,0,0,0.15783364473684192,0.07,0.0,0,0,1.7763568394002505e-15,11.995356999999998,11.334210526315793,0.0,9.553200531914893
2025-06-01T08:00:00+00:00,65.0,60.0,0.25,0.08,0.0,0,0,0.0667105263157894,0.07,0.0,0,0,0.0,5.07,10.000000000000004,0.0,9.553200531914893
2025-06-01T08:15:00+00:00,65.0,66.668428,0.25,0.08,-5.773159728050814e-15,0,5.773159728050814e-15,0.02397642000000002,0.07,0.0,0,0,0.0,0.0,10.000000000000004,-1.598428,9.928831111914892
2025-06-01T08:30:00+00:00,65.0,73.051371,0.25,0.08,-2.6645352591003757e-15,0,2.6645352591003757e-15,0.11972056500000011,0.07,0.0,0,0,0.0,0.0,10.000000000000004,-7.981371,11.804453296914891
2025-06-01T08:45:00+00:00,65.0,79.121498,0.25,0.08,-1.7763568394002505e-15,0,1.7763568394002505e-15,0.21077247000000018,0.07,0.0,0,0,0.0,0.0,10.000000000000004,-14.051498,15.106555326914892
2025-06-01T09:00:00+00:00,65.0,84.852814,0.25,0.08,-19.106750189999996,0,19.106750189999996,0.01014095715000001,0.07,0.0,0,0,0.0,0.0,10.000000000000004,-0.67606381,15.265430322264892
2025-06-01T09:15:00+00:00,65.0,90.220777,0.25,0.08,3.552713678800501e-15,3.552713678800501e-15,0,0.3143847125000003,0.07,0.0,0,0,0.0,-25.150777,15.973309537500004,0.0,15.265430322264892
2025-06-01T09:30:00+00:00,65.0,95.202401,0.25,0.08,-30.132400999999994,0,30.132400999999994,0.0,0.07,0.0,0,0,0.0,0.0,15.973309537500004,0.0,15.265430322264892
2025-06-01T09:45:00+00:00,65.0,99.776353,0.25,0.08,0.0,0,0,0.4338294125000004,0.07,0.0,0,0,0.0,-34.706353,24.216068375000006,0.0,15.265430322264892
2025-06-01T10:00:00+00:00,65.0,103.923048,0.25,0.08,7.105427357601002e-15,7.105427357601002e-15,0,0.48566310000000046,0.07,0.0,0,0,0.0,-38.853048,33.44366727500001,0.0,15.265430322264892
2025-06-01T10:15:00+00:00,65.0,107.624729,0.25,0.08,-42.554729,0,42.554729,0.0,0.07,0.0,0,0,0.0,0.0,33.44366727500001,0.0,15.265430322264892
2025-06-01T10:30:00+00:00,65.0,110.865544,0.25,0.08,0.0,0,0,0.6349443000000006,0.07,0.0,0,0,0.0,-20.795544,38.38260897500001,-25,21.14043032226489
2025-06-01T10:45:00+00:00,65.0,113.631616,0.25,0.08,-23.561615999999994,0,23.561615999999994,0.37500000000000033,0.07,0.0,0,0,0.0,0.0,38.38260897500001,-25,27.01543032226489
2025-06-01T11:00:00+00:00,65.0,115.911099,0.25,0.08,-49.99999999999999,0,49.99999999999999,0.01051373750000001,0.07,0.0,0,0,0.0,-0.841099,38.58236998750001,0.0,27.01543032226489
2025-06-01T11:15:00+00:00,65.0,117.694234,0.25,0.08,-27.624233999999994,0,27.624233999999994,0.37500000000000033,0.07,0.0,0,0,0.0,0.0,38.58236998750001,-25,32.89043032226489
2025-06-01T11:30:00+00:00,65.0,118.973383,0.25,0.08,-50.0,0,50.0,0.04879228750000004,0.07,0.0,0,0,0.0,-3.903383,39.50942345000001,0.0,32.89043032226489
2025-06-01T11:45:00+00:00,65.0,119.743071,0.25,0.08,-50.0,0,50.0,0.05841338750000005,0.07,0.0,0,0,0.0,-4.673071,40.61927781250001,0.0,32.89043032226489
2025-06-01T12:00:00+00:00,65.0,120.0,0.25,0.08,-29.93,0,29.93,0.37500000000000033,0.07,0.0,0,0,0.0,0.0,40.61927781250001,-25,38.76543032226489
2025-06-01T12:15:00+00:00,65.0,119.743071,0.25,0.08,-50.0,0,50.0,0.05841338750000005,0.07,0.0,0,0,0.0,-4.673071,41.72913217500001,0.0,38.76543032226489
2025-06-01T12:30:00+00:00,65.0,118.973383,0.25,0.08,-3.903382999999998,0,3.903382999999998,0.6250000000000006,0.07,0.0,0,0,0.0,-50,53.60413217500001,0.0,38.76543032226489
2025-06-01T12:45:00+00:00,65.0,117.694234,0.25,0.08,-2.624233999999994,0,2.624233999999994,0.6250000000000006,0.07,0.0,0,0,0.0,-50,65.47913217500002,0.0,38.76543032226489
2025-06-01T13:00:00+00:00,65.0,115.911099,0.25,0.08,-49.99999999999999,0,49.99999999999999,0.012616485000000012,0.07,0.0,0,0,0.0,0.0,65.47913217500002,-0.841099,38.96308858726489
2025-06-01T13:15:00+00:00,65.0,113.631616,0.25,0.08,-48.561615999999994,0,48.561615999999994,0.0,0.07,0.0,0,0,0.0,0.0,65.47913217500002,0.0,38.96308858726489
2025-06-01T13:30:00+00:00,65.0,110.865544,0.25,0.08,0.0,0,0,0.6349443000000006,0.07,0.0,0,0,0.0,-20.795544,70.41807387500002,-25,44.83808858726489
2025-06-01T13:45:00+00:00,65.0,107.624729,0.25,0.08,-42.554729,0,42.554729,0.0,0.07,0.0,0,0,0.0,0.0,70.41807387500002,0.0,44.83808858726489
2025-06-01T14:00:00+00:00,65.0,103.923048,0.25,0.08,7.105427357601002e-15,7.105427357601002e-15,0,0.48566310000000046,0.07,0.0,0,0,0.0,-38.853048,79.64567277500002,0.0,44.83808858726489
2025-06-01T14:15:00+00:00,65.0,99.776353,0.25,0.08,0.0,0,0,0.4338294125000004,0.07,0.0,0,0,0.0,-34.706353,87.88843161250003,0.0,44.83808858726489
2025-06-01T14:30:00+00:00,65.0,95.202401,0.25,0.08,-30.132400999999994,0,30.132400999999994,0.0,0.07,0.0,0,0,0.0,0.0,87.88843161250003,0.0,44.83808858726489
2025-06-01T14:45:00+00:00,65.0,90.220777,0.25,0.08,-25.150776999999998,0,25.150776999999998,0.0,0.07,0.0,0,0,0.0,0.0,87.88843161250003,0.0,44.83808858726489
2025-06-01T15:00:00+00:00,65.0,84.852814,0.25,0.08,-19.782813999999995,0,19.782813999999995,0.0,0.07,0.0,0,0,0.0,0.0,87.88843161250003,0.0,44.83808858726489
2025-06-01T15:15:00+00:00,65.0,79.121498,0.25,0.08,-14.051498000000002,0,14.051498000000002,0.0,0.07,0.0,0,0,0.0,0.0,87.88843161250003,0.0,44.83808858726489
2025-06-01T15:30:00+00:00,65.0,73.051371,0.25,0.08,3.5043011159530124e-08,3.5043011159530124e-08,0,0.1014895997756453,0.07,0.0,0,0,4.956986154880383e-09,-7.2923863,89.62037335875003,-0.6889847350430138,45.0
2025-06-01T15:45:00+00:00,65.0,66.668428,0.25,0.08,-3.684223526256858e-08,0,3.684223526256858e-08,0.01998034953947215,0.07,0.0,0,0,3.684222948940885e-08,-1.5984279631577705,90.0,-0.0,45.0
2025-06-01T16:00:00+00:00,200.0,60.0,0.25,0.08,140.07,140.07,0,0.0,0.07,0.0,0,0,0.0,-0.0,90.0,-0.0,45.0
2025-06-01T16:15:00+00:00,200.0,53.074643,0.25,0.08,146.99535699999998,146.99535699999998,0,0.0,0.07,0.0,0,0,0.0,-0.0,90.0,-0.0,45.0
2025-06-01T16:30:00+00:00,65.0,45.922012,0.25,0.08,19.147987999999998,19.147987999999998,0,0.0,0.07,0.0,0,0,0.0,-0.0,90.0,-0.0,45.0
2025-06-01T16:45:00+00:00,65.0,38.572736,0.25,0.08,26.497264,26.497264,0,0.0,0.07,0.0,0,0,0.0,-0.0,90.0,-0.0,45.0
