Groesse;Wert
HeizkesselModul[0].Hilfsenergie;0
Vektor.waermebedarf.Summe;90194.3045
Vektor.waermebedarf_gebaeude.Summe;90194304.5
Vektor.waermebedarf_brauchwasser.Summe;0
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;142806.206
Vektor.stundentemperatur.Summe;86493.64
Vektor.waermebedarf_kuehlung.Summe;2521.68642
Vektor.raumtemperatur_0.Summe;177112.586
Vektor.operative_temperatur_0.Summe;176130.307
Vektor.kuehlbedarf_0.Summe;2521.68642
Vektor.restwaerme.Summe;97.1800357
Vektor.strombedarf_viertelstunde.Summe;2688000.06
Vektor.reststrom_viertelstunde.Summe;2623503.69
Vektor.wp_waermebedarf.Summe;141.71933
Vektor.wp_produktion.Summe;44.5392942
Vektor.wp_strom.Summe;17.9021897
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;97.1800357
Vektor.wp_quellentemperatur.Summe;86493.64
Vektor.wp_warmwasserbedarf.Summe;0
Vektor.kessel_waermebedarf.Summe;20265.4013
Vektor.kessel_leistung.Summe;20123.6819
Vektor.kessel_restwaerme.Summe;141.71933
Vektor.kessel_strom.Summe;20123.6819
Vektor.bhkw_waermebedarf.Summe;90194.3045
Vektor.bhkw_waerme.Summe;69928.9032
Vektor.bhkw_strom.Summe;36804.6859
Vektor.bhkw_restwaerme.Summe;20265.4013
Vektor.ssp_gespeichert_viertelstunde.Summe;44861.6814
Vektor.pv_speicherfuellstand.Summe;11215.4204
