Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_pmp,BIPV,Version,Date
Units,,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,
[0],lib_manufacturer,cec_material,lib_is_bifacial,,,cec_area,lib_length,lib_width,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_pmp,,,
Advance Power API-P260,Advance Power,Multi-c-Si,0,260.133,231.5,1.951,1.961,0.995,72,7.83,43.2,7.24,35.93,0.00450851,-0.144374,47.6,1.85782,7.84078,6.04759e-10,0.23736,172.385,15.1342,-0.4501,N,2023.12.17,11/14/2024
Advance Power API-M265,Advance Power,Mono-c-Si,0,264.96,235.7,1.951,1.961,0.995,72,8.11,44.42,7.36,36,0.00432425,-0.144098,47.9,1.88899,8.14056,4.72387e-10,0.385226,102.246,16.0678,-0.4485,N,2023.12.17,11/14/2024
Advance Power API-P265,Advance Power,Multi-c-Si,0,264.906,236,1.951,1.961,0.995,72,7.95,43.27,7.33,36.14,0.00457761,-0.144608,47.6,1.86879,7.9609,6.75358e-10,0.208736,152.276,16.0392,-0.4501,N,2023.12.17,11/14/2024
Advance Power API-M270,Advance Power,Mono-c-Si,0,269.402,240.3,1.951,1.961,0.995,72,8.14,44.64,7.44,36.21,0.00434025,-0.144812,47.9,1.891,8.16542,4.36443e-10,0.381959,122.325,15.2677,-0.4485,N,2023.12.17,11/14/2024
Advance Power API-P270,Advance Power,Multi-c-Si,0,269.946,240.6,1.951,1.961,0.995,72,8.1,43.7,7.41,36.43,0.00466398,-0.146045,47.6,1.89462,8.11453,7.45003e-10,0.214939,119.812,16.8183,-0.4501,N,2023.12.17,11/14/2024
Advance Power API-M275,Advance Power,Mono-c-Si,0,275.082,244.9,1.951,1.961,0.995,72,8.18,44.78,7.52,36.58,0.00436158,-0.145266,47.9,1.89814,8.1995,4.47981e-10,0.341904,143.397,15.4475,-0.4485,N,2023.12.17,11/14/2024
Advance Power API-P275,Advance Power,Multi-c-Si,0,275.082,245.2,1.951,1.961,0.995,72,8.17,43.92,7.52,36.58,0.00470429,-0.146781,47.6,1.89574,8.18267,6.83376e-10,0.221689,142.923,15.8986,-0.4501,N,2023.12.17,11/14/2024
Advance Power API-M280,Advance Power,Mono-c-Si,0,280.136,249.5,1.951,1.961,0.995,72,8.21,44.86,7.6,36.86,0.00437757,-0.145526,47.9,1.90009,8.22399,4.45016e-10,0.309335,181.535,15.3279,-0.4485,N,2023.12.17,11/14/2024
Advance Power API-P280,Advance Power,Multi-c-Si,0,280.174,249.8,1.951,1.961,0.995,72,8.23,44.06,7.63,36.72,0.00473883,-0.147249,47.6,1.89398,8.23978,6.31106e-10,0.219636,184.905,15.0581,-0.4501,N,2023.12.17,11/14/2024
Advance Power API-M285,Advance Power,Mono-c-Si,0,285.314,254,1.951,1.961,0.995,72,8.39,44.21,7.77,36.72,0.00447355,-0.143417,47.9,1.8839,8.40155,5.23926e-10,0.238597,173.296,16.6591,-0.4485,N,2023.12.17,11/14/2024
Advance Power API-P285,Advance Power,Multi-c-Si,0,285.123,256.9,1.951,1.961,0.995,72,8.32,44.21,7.75,36.79,0.00499283,-0.14523,46.2,1.87699,8.32857,4.79749e-10,0.23235,225.478,14.3535,-0.4402,N,2023.12.17,11/14/2024
Advance Power API-M290,Advance Power,Mono-c-Si,0,290.088,258.6,1.951,1.961,0.995,72,8.48,44.43,7.9,36.72,0.00452154,-0.144131,47.9,1.88108,8.48981,4.58254e-10,0.266206,230.131,15.2774,-0.4485,N,2023.12.17,11/14/2024
Advance Power API-P290,Advance Power,Multi-c-Si,0,292.848,261.5,1.951,1.961,0.995,72,8.46,44.28,7.96,36.79,0.00507685,-0.14546,46.2,1.86706,8.46432,4.19597e-10,0.240321,471.072,12.9284,-0.4402,N,2023.12.17,11/14/2024
Advance Power API-P295,Advance Power,Multi-c-Si,0,296.08,266.1,1.951,1.961,0.995,72,8.49,44.42,8,37.01,0.00509485,-0.14592,46.2,1.87435,8.4935,4.29141e-10,0.225407,546.469,13.097,-0.4402,N,2023.12.17,11/14/2024
Advance Power API-P300,Advance Power,Multi-c-Si,0,303.163,270.7,1.951,1.961,0.995,72,8.54,44.86,8.05,37.66,0.00512485,-0.147365,46.2,1.90068,8.54297,4.7539e-10,0.185136,532.522,13.9849,-0.4402,N,2023.12.17,11/14/2024
Advance Power API-P305,Advance Power,Multi-c-Si,0,305.99,275.4,1.951,1.961,0.995,72,8.56,45,8.08,37.87,0.00513686,-0.147825,46.2,1.90771,8.56236,4.83674e-10,0.172328,624.733,14.1182,-0.4402,N,2023.12.17,11/14/2024
Advance Power API-P310,Advance Power,Multi-c-Si,0,310.243,277.3,1.951,1.961,0.995,72,8.62,45.22,8.16,38.02,0.0049634,-0.151125,47.6,1.9293,8.62124,5.681e-10,0.173687,1204.63,13.5769,-0.4501,N,2023.12.17,11/14/2024
Advance Power API-P315,Advance Power,Multi-c-Si,0,316.828,281.9,1.951,1.961,0.995,72,8.67,45.58,8.24,38.45,0.00499219,-0.152328,47.6,1.95434,8.75977,6.43328e-10,0.152418,434.906,14.6125,-0.4501,N,2023.12.17,11/14/2024
Advance Power API-P320,Advance Power,Multi-c-Si,0,320.25,288.7,1.94,,,72,9.38,45.5,8.75,36.6,0.00469,-0.1456,47.7,1.83488,9.39566,1.56562e-10,0.396393,237.367,6.33473,-0.42,N,2023.12.17,11/14/2024
Advance Power API-P325,Advance Power,Multi-c-Si,0,325.089,293.4,1.94,,,72,9.44,45.8,8.81,36.9,0.00472,-0.14656,47.7,1.84818,9.45514,1.60178e-10,0.388649,242.376,6.47478,-0.42,N,2023.12.17,11/14/2024
Advance Power API-M330,Advance Power,Mono-c-Si,0,329.875,302.4,1.94,,,72,9.57,46.8,8.75,37.7,0.003828,-0.1404,44.6,1.88584,9.60619,1.52834e-10,0.397226,105.04,13.2757,-0.42,N,2023.12.17,11/14/2024
Advance Power API-P330,Advance Power,Multi-c-Si,0,329.964,298,1.94,,,72,9.5,46.1,8.87,37.2,0.00475,-0.14752,47.7,1.86148,9.51462,1.63824e-10,0.381014,247.53,6.6126,-0.42,N,2023.12.17,11/14/2024
Advance Power API-M335,Advance Power,Mono-c-Si,0,335.16,307.1,1.94,,,72,9.61,47,8.82,38,0.003844,-0.141,44.6,1.89369,9.64133,1.53702e-10,0.378964,116.228,13.2764,-0.42,N,2023.12.17,11/14/2024
Advance Power API-P335,Advance Power,Multi-c-Si,0,336.144,302.7,1.94,,,72,9.56,46.4,8.94,37.6,0.00478,-0.14848,47.7,1.87642,9.57281,1.71371e-10,0.360408,268.867,6.94184,-0.42,N,2023.12.17,11/14/2024
Advance Power API-M340,Advance Power,Mono-c-Si,0,343.168,311.8,1.94,,,72,9.64,47.2,8.96,38.3,0.003856,-0.1416,44.6,1.89196,9.65896,1.37594e-10,0.362158,184.105,12.1956,-0.42,N,2023.12.17,11/14/2024
Advance Power API-M345,Advance Power,Mono-c-Si,0,344.832,315.8,1.94,,,72,9.72,47.3,8.98,38.4,0.003888,-0.1419,44.6,1.92298,9.74363,1.95646e-10,0.352268,144.905,15.3628,-0.43,N,2023.12.17,11/14/2024
Advance Power API-M350,Advance Power,Mono-c-Si,0,350.35,320.5,1.94,,,72,9.81,47.4,9.1,38.5,0.003924,-0.1422,44.6,1.9231,9.83016,1.88639e-10,0.347745,169.18,14.9232,-0.43,N,2023.12.17,11/14/2024
