Energy Storage System List (Full Data)
"Data has not changed since August 21, 2026"
Manufacturer Name,Brand1,Model Number,Technology,PV DC Input Capability,UL 9540 Certification,,,UL 1741 Supplement SB Certification,UL 1741 Supplement SA Testing,UL 1741 SA13 Volt-Var,"UL 1741 SA
Freq-Watt
Volt-Watt","UL 1741 SA
Disable Permit Service
Limit Active Power",Common Smart Inverter Profile Conformance,"Monitor Key Data
Scheduling7",Description,Nameplate Energy Capacity,Nameplate Power,Nominal Voltage,Maximum Continuous Discharge Rate4,"UL 1741 (3rd Ed.) Supplement SB 
Certification",,"UL 1741 Supplement SA 
Certification (SA8-SA13)5",,,"UL 1741 SA
Freq-Watt
Volt-Watt","UL 1741 SA
Disable Permit Service
Limit Active Power",Inverter CSIP Conformance6,,"Monitor Key Data
Scheduling
Attestation7",Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update,Group 1 Anti-Island8,Group 2a Anti-Island8,Group 2b Anti-Island8,Group 2c Anti-Island8,Group 3 Anti-Island8,Group 4 Anti-Island8,Group 5 Anti-Island8,Group 6 Anti-Island8,Others8
"Dyness Digital Energy Technology Co., LTD.",DYNESS,AMOR-11.4/9.9,Lithium Ion,N,CSA Group,45197,Ed. 2 : 2020,Y,N,N,N,N,Y*,Y,"11.4 kW, 9.9 kWh, energy storage system",9.9,11.4,240,11.4,CSA Group,[9/8/2023],No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,CSA Group,45195,45505,93,"Basic, TOU, Advanced DR",Y (2022),,45505,45859,,,,,,,,,
"Dyness Digital Energy Technology Co., LTD.",DYNESS,AMOR-5.0/9.9,Lithium Ion,N,CSA Group,45197,Ed. 2 : 2020,Y,N,N,N,N,Y*,Y,"5 kW, 9.9 kWh, energy storage system",9.9,5,240,5,CSA Group,[9/8/2023],No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,CSA Group,45195,45505,93,"Basic, TOU, Advanced DR",Y (2022),,45505,45859,,,,,,,,,
"Dyness Digital Energy Technology Co., LTD.",DYNESS,AMOR-6.0/9.9,Lithium Ion,N,CSA Group,45197,Ed. 2 : 2020,Y,N,N,N,N,Y*,Y,"6 kW, 9.9 kWh, energy storage system",9.9,6,240,6,CSA Group,[9/8/2023],No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,CSA Group,45195,45505,93,"Basic, TOU, Advanced DR",Y (2022),,45505,45859,,,,,,,,,
"ESS Tech, Inc",,EW-75-500-60,Iron Flow Battery,N,Intertek,45064,Ed. 2 : 2020,N,N,N,N,N,N,N,"75 kW, 500 kWh, flow battery energy storage system",500,75,480,90,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,45352,,,,,,,,,,
"ESS Tech, Inc",,EW-75-500-DC-B,Iron Flow Battery,N,Intertek,45064,Ed. 2 : 2020,N,N,N,N,N,N,N,"75 kW, 500 kWh, flow battery",500,75,Not Applicable,90,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,45352,,,,,,,,,,
Hyperian Energy Inc.,,ST2-100i-50b,Lithium Iron,Y,Intertek,45243,Ed. 2 : 2020,N,N,N,N,N,N,N,"10 kW, 5 kWh, energy storage system",5,10,240,10,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,45433,,,,,,,,,,
Hyperian Energy Inc.,,ST2-114i-50b,Lithium Iron,Y,Intertek,45243,Ed. 2 : 2020,N,N,N,N,N,N,N,"11.4 kW, 5 kWh, energy storage system",5,11.4,240,11.4,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,N,,45433,,,,,,,,,,
SOCOMEC,Socomec,"SUNSYS-HES-L-C05 {100kW, 203.7kWh}",Lithium Iron Phosphate,N,TUV Rheinland of North America,45650,Ed. 3 : 2023,Y,Y,Y,Y,Y,Y*,Y,"100 kW, 203 kWh, 480 Vac, Lithium Iron Phosphate Energy Storage System with PCS functionality.",203.7,100,480,100,TUV Rheinland of North America,[7/12/2024],TUV Rheinland of North America,[7/12/2024],[1.0.0],[7/12/2024],45758,UL,44510,45758,0.88,"Basic, TOU, Advanced DR",Y (2022),,45758,45778,,,,,,,,,
SOCOMEC,Socomec,"SUNSYS-HES-L-C05 {50kW, 203.7kWh}",Lithium Iron Phosphate,N,TUV Rheinland of North America,45650,Ed. 3 : 2023,Y,Y,Y,Y,Y,Y*,Y,"50 kW, 203 kWh, 480 Vac, Lithium Iron Phosphate Energy Storage System with PCS functionality.",203.7,50,480,50,TUV Rheinland of North America,[7/12/2024],TUV Rheinland of North America,[7/12/2024],[1.0.0],[7/12/2024],45758,UL,44510,45758,0.88,"Basic, TOU, Advanced DR",Y (2022),,45758,45778,,,,,,,,,
SOCOMEC,Socomec,"SUNSYS-HES-L-C05 {100kW, 407.3kWh}",Lithium Iron Phosphate,N,TUV Rheinland of North America,45650,Ed. 3 : 2023,Y,Y,Y,Y,Y,Y*,Y,"100 kW, 407 kWh, 480 Vac, Lithium Iron Phosphate Energy Storage System with PCS functionality.",407.3,100,480,100,TUV Rheinland of North America,[7/12/2024],TUV Rheinland of North America,[7/12/2024],[1.0.0],[7/12/2024],45758,UL,44510,45758,0.88,"Basic, TOU, Advanced DR",Y (2022),,45758,45778,,,,,,,,,
"Sungrow Power Supply Co., Ltd.",,ST556KWH-250UD,Lithium Nickel Manganese Cobalt,N,TUV Rheinland of North America,43965,Ed. 1 : 2016,N,Y,Y,Y,Y,Y*,Y,"250 kW, 556 kWh, 480 Vac lithium nickel manganese cobalt (NMC) energy storage system",556,250,480,250,No Information Submitted,No Information Submitted,CSA Group,[06/14/2019],[MDSP_AGATE-S_V11_V01_A],[06/14/2019],44217,CSA Group,44034,44217,No Information Submitted,No Information Submitted,N,,44217,,,,,,,,,,
"Villara Energy Systems, LLC",VillaGrid,VES20BC22S5P-S12K,Lithium Titanate Oxide,N,Intertek,44225,Ed. 1 : 2016,N,N,N,N,N,N,N,"8 kW, 5.75 kWh, LTO energy storage system",5.75,8,240,8,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,92.4,"Basic, TOU, Advanced Control",Y (2022),,44470,44480,,,,,,,,,
"Villara Energy Systems, LLC",VillaGrid,VES20BC22S5P-S8K,Lithium Titanate Oxide,N,Intertek,44225,Ed. 1 : 2016,N,N,N,N,N,N,N,"8 kW, 5.75 kWh, LTO energy storage system",5.75,8,240,8,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,92.4,"Basic, TOU, Advanced Control",Y (2022),,44470,44480,,,,,,,,,
"Villara Energy Systems, LLC",VillaGrid,VES20BC22S10P-S12K,Lithium Titanate Oxide,N,Intertek,44225,Ed. 1 : 2016,N,N,N,N,N,N,N,"8 kW, 11.5 kWh, LTO energy storage system",11.5,8,240,8,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,No Information Submitted,91.7,"Basic, TOU, Advanced Control",Y (2022),,44470,44480,,,,,,,,,
